xref,seg_layer,nverts,closed,wkt
SEGMENTATION - MTA,M.35,2,0,"LINESTRING(6219.9046 55245.1159, 6196.8852 55263.5965)"
SEGMENTATION - MTA,D4.20,2,0,"LINESTRING(6222.2460 55253.0761, 6193.0903 55248.4537)"
SEGMENTATION - MTA,L.3,2,0,"LINESTRING(6257.9274 55267.3848, 6264.1822 55210.1951)"
SEGMENTATION - MTA,M.36,2,0,"LINESTRING(6223.2488 55237.3015, 6261.2669 55206.7778)"
SEGMENTATION - MTA,M.38,2,0,"LINESTRING(6271.8660 55198.2703, 6348.3634 55136.8529)"
SEGMENTATION - MTA,M.39,2,0,"LINESTRING(6359.9862 55127.5152, 6418.1153 55080.8476)"
SEGMENTATION - MTA,M.40,2,0,"LINESTRING(6429.7459 55071.5200, 6499.7093 55015.3409)"
SEGMENTATION - MTA,M.14,2,0,"LINESTRING(5793.2353 55884.5654, 5780.4079 55877.8972)"
SEGMENTATION - MTA,M.15,2,0,"LINESTRING(5862.0534 55855.9900, 5801.2379 55883.7108)"
SEGMENTATION - MTA,M.16,2,0,"LINESTRING(5874.7185 55822.7126, 5867.9483 55850.5080)"
SEGMENTATION - MTA,M.18,2,0,"LINESTRING(5892.3493 55756.4351, 5893.1623 55753.5482)"
SEGMENTATION - MTA,L.50,2,0,"LINESTRING(6989.5416 56185.8510, 6971.7516 56163.6831)"
SEGMENTATION - MTA,L.48,2,0,"LINESTRING(6918.1012 56096.8657, 6962.8197 56152.5638)"
SEGMENTATION - MTA,L.47,2,0,"LINESTRING(6967.1041 56158.6840, 6909.9145 56152.4292)"
SEGMENTATION - MTA,L.49,2,0,"LINESTRING(6970.9852 56155.5681, 6977.2400 56098.3785)"
SEGMENTATION - MTA,L.45,2,0,"LINESTRING(6906.7986 56148.5481, 6919.6940 56117.5769)"
SEGMENTATION - MTA,L.44,2,0,"LINESTRING(6919.4621 56110.7322, 6913.0533 56091.3584)"
SEGMENTATION - MTA,L.46,2,0,"LINESTRING(6916.9345 56088.2426, 6974.1241 56094.4973)"
SEGMENTATION - MTA,L.43,2,0,"LINESTRING(6910.0629 56086.8531, 6908.3084 56084.6677)"
SEGMENTATION - MTA,L.42,2,0,"LINESTRING(6904.9842 56080.5271, 6896.6370 56070.1299)"
SEGMENTATION - MTA,L.41,2,0,"LINESTRING(6892.4632 56064.9310, 6884.1181 56054.5326)"
SEGMENTATION - MTA,L.39,2,0,"LINESTRING(6853.1754 56015.9813, 6807.1075 55958.6032)"
SEGMENTATION - MTA,L.38,2,0,"LINESTRING(6797.8940 55947.1275, 6733.3988 55866.7981)"
SEGMENTATION - MTA,L.37,2,0,"LINESTRING(6729.2253 55861.5995, 6704.1824 55830.4088)"
SEGMENTATION - MTA,L.36,2,0,"LINESTRING(6700.0086 55825.2102, 6695.8196 55819.9921)"
SEGMENTATION - MTA,L.35,2,0,"LINESTRING(6673.6472 55804.5457, 6691.1777 55814.9906)"
SEGMENTATION - MTA,L.32,2,0,"LINESTRING(6689.1833 55811.7264, 6663.7507 55780.0472)"
SEGMENTATION - MTA,L.34,2,0,"LINESTRING(6653.3618 55802.3271, 6667.0268 55802.8421)"
SEGMENTATION - MTA,L.33,2,0,"LINESTRING(6633.9880 55808.7358, 6646.6199 55803.5307)"
SEGMENTATION - MTA,L.30,2,0,"LINESTRING(6630.8721 55804.8547, 6643.7664 55773.9127)"
SEGMENTATION - MTA,L.31,2,0,"LINESTRING(6659.0553 55774.1988, 6644.9696 55756.6534)"
SEGMENTATION - MTA,L.29,2,0,"LINESTRING(6643.5393 55767.0737, 6639.8718 55753.0242)"
SEGMENTATION - MTA,L.56,2,0,"LINESTRING(6645.0818 55749.9479, 6643.6086 55747.4619)"
SEGMENTATION - MTA,L.25,2,0,"LINESTRING(6640.4382 55751.7678, 6584.7330 55745.6713)"
SEGMENTATION - MTA,L.28,2,0,"LINESTRING(6641.4447 55752.2011, 6637.1720 55746.8836)"
SEGMENTATION - MTA,L.23,2,0,"LINESTRING(6581.6380 55741.8048, 6587.7286 55686.1160)"
SEGMENTATION - MTA,L.24,2,0,"LINESTRING(6591.5862 55683.0098, 6647.2866 55689.1016)"
SEGMENTATION - MTA,L.22,2,0,"LINESTRING(6584.8698 55681.7935, 6582.9916 55679.4542)"
SEGMENTATION - MTA,L.21,2,0,"LINESTRING(6583.2559 55672.6335, 6589.3477 55616.9332)"
SEGMENTATION - MTA,L.19,2,0,"LINESTRING(6523.6942 55669.6416, 6579.3946 55675.7335)"
SEGMENTATION - MTA,L.20,2,0,"LINESTRING(6579.4489 55675.0411, 6534.6441 55619.2323)"
SEGMENTATION - MTA,L.17,2,0,"LINESTRING(6520.5943 55665.7803, 6526.6862 55610.0800)"
SEGMENTATION - MTA,L.18,2,0,"LINESTRING(6586.2478 55613.0719, 6535.7335 55611.1749)"
SEGMENTATION - MTA,L.54,2,0,"LINESTRING(6531.1887 55615.3711, 6528.8731 55613.1979)"
SEGMENTATION - MTA,L.14,2,0,"LINESTRING(6522.9111 55604.6176, 6478.6781 55549.5211)"
SEGMENTATION - MTA,L.12,2,0,"LINESTRING(6482.3307 55566.2423, 6475.9220 55546.8686)"
