xref,seg_layer,nverts,closed,wkt
SEGMENTATION-ZONE 1-2,C.7,2,0,"LINESTRING(5731.0879 55452.2455, 5792.1716 55403.2058)"
SEGMENTATION-ZONE 1-2,C1.3,2,0,"LINESTRING(5731.6466 55390.2456, 5730.8607 55389.2667)"
SEGMENTATION-ZONE 1-2,C1.4,2,0,"LINESTRING(5736.2395 55396.7347, 5730.1297 55452.4045)"
SEGMENTATION-ZONE 1-2,C1.5,2,0,"LINESTRING(5739.4216 55392.7603, 5796.6112 55399.0150)"
SEGMENTATION-ZONE 1-2,C1.7,2,0,"LINESTRING(5735.1150 55394.5661, 5785.9015 55457.8254)"
SEGMENTATION-ZONE 1-2,C1.6,2,0,"LINESTRING(5733.2296 55456.2658, 5788.9299 55462.3577)"
SEGMENTATION-ZONE 1-2,C1.8,2,0,"LINESTRING(5799.7271 55402.8961, 5793.4723 55460.0858)"
SEGMENTATION-ZONE 1-2,C1.9,2,0,"LINESTRING(5793.4804 55467.2486, 5797.7330 55472.5499)"
SEGMENTATION-ZONE 1-2,C.8,2,0,"LINESTRING(5802.2438 55395.1196, 5808.0924 55390.4242)"
SEGMENTATION-ZONE 1-2,STB-C.2,2,0,"LINESTRING(5824.2506 55403.3665, 5799.8350 55372.9547)"
SEGMENTATION-ZONE 1-2,STB-D.2,2,0,"LINESTRING(5759.8711 55332.3333, 5739.2120 55306.6004)"
SEGMENTATION-ZONE 1-2,C.9,2,0,"LINESTRING(5813.9408 55385.7289, 5882.8784 55330.3840)"
SEGMENTATION-ZONE 1-2,C.11,2,0,"LINESTRING(6048.0929 55197.7409, 5973.1368 55257.9220)"
SEGMENTATION-ZONE 1-2,C.10,2,0,"LINESTRING(5894.1595 55321.3246, 5961.8533 55266.9781)"
SEGMENTATION-ZONE 1-2,D.9,2,0,"LINESTRING(5745.4884 55312.4451, 5820.9645 55251.8357)"
SEGMENTATION-ZONE 1-2,D.10,2,0,"LINESTRING(5832.4869 55242.6003, 5901.5758 55187.1338)"
SEGMENTATION-ZONE 1-2,D.11,2,0,"LINESTRING(5913.0972 55177.8980, 5982.7304 55121.9807)"
SEGMENTATION-ZONE 1-2,C.12,2,0,"LINESTRING(6053.9543 55193.0767, 6059.7830 55188.3569)"
SEGMENTATION-ZONE 1-2,D.12,2,0,"LINESTRING(5991.3439 55115.1027, 5997.1725 55110.3830)"
SEGMENTATION-ZONE 1-2,STB-C.3,2,0,"LINESTRING(6064.0140 55218.3023, 6033.9631 55180.8731)"
SEGMENTATION-ZONE 1-2,STB-D.3,2,0,"LINESTRING(6001.2343 55140.4642, 5971.1834 55103.0350)"
SEGMENTATION-ZONE 1-2,C.13,2,0,"LINESTRING(6068.7124 55181.1881, 6123.2994 55137.3674)"
SEGMENTATION-ZONE 1-2,D.13,2,0,"LINESTRING(6006.1124 55103.2462, 6060.6978 55059.4235)"
SEGMENTATION-ZONE 1-2,STB-D4.2,2,0,"LINESTRING(6047.1159 55143.3878, 6089.2224 55109.5798)"
SEGMENTATION-ZONE 1-2,D4.13,2,0,"LINESTRING(6119.1153 55191.2898, 6069.1072 55129.0003)"
SEGMENTATION-ZONE 1-2,D4.7,2,0,"LINESTRING(6059.7431 55117.2958, 6008.0550 55052.9269)"
SEGMENTATION-ZONE 1-2,D4.12,2,0,"LINESTRING(6068.4357 55188.0444, 6122.0778 55195.8410)"
SEGMENTATION-ZONE 1-2,D4.10,2,0,"LINESTRING(6068.4638 55129.0088, 6064.4729 55183.1240)"
SEGMENTATION-ZONE 1-2,D4.14,2,0,"LINESTRING(6133.5575 55134.6317, 6126.0370 55192.6610)"
SEGMENTATION-ZONE 1-2,D4.11,2,0,"LINESTRING(6130.6961 55131.0606, 6072.4636 55125.7721)"
SEGMENTATION-ZONE 1-2,D4.9,2,0,"LINESTRING(6065.3439 55124.2724, 6063.4658 55121.9330)"
SEGMENTATION-ZONE 1-2,D4.6,2,0,"LINESTRING(6005.7788 55109.9768, 6059.4553 55117.8246)"
SEGMENTATION-ZONE 1-2,D4.8,2,0,"LINESTRING(6063.4506 55114.6633, 6067.4339 55060.6100)"
SEGMENTATION-ZONE 1-2,D4.4,2,0,"LINESTRING(6001.8871 55105.1110, 6005.8678 55051.0495)"
SEGMENTATION-ZONE 1-2,D4.5,2,0,"LINESTRING(6063.4957 55055.6454, 6009.8040 55047.8493)"
SEGMENTATION-ZONE 1-2,D4.3,2,0,"LINESTRING(6001.8025 55045.1162, 5945.3879 54974.9239)"
SEGMENTATION-ZONE 1-2,D4.1,2,0,"LINESTRING(5940.8303 54969.9745, 5878.3560 54968.0192)"
SEGMENTATION-ZONE 1-2,D4.2,2,0,"LINESTRING(5944.6227 54966.7915, 5956.2687 54905.4690)"
SEGMENTATION-ZONE 1-2,C.14,2,0,"LINESTRING(6135.0459 55128.0121, 6140.8745 55123.2923)"
SEGMENTATION-ZONE 1-2,STB-C.4,2,0,"LINESTRING(6160.6070 55140.7950, 6130.5562 55103.3658)"
SEGMENTATION-ZONE 1-2,C.15,2,0,"LINESTRING(6146.7003 55118.5868, 6226.9938 55054.1558)"
SEGMENTATION-ZONE 1-2,C.16,2,0,"LINESTRING(6238.2945 55045.0489, 6317.4117 54981.5279)"
SEGMENTATION-ZONE 1-2,C.17,2,0,"LINESTRING(6328.7025 54972.4633, 6409.0162 54908.0231)"
SEGMENTATION-ZONE 1-2,D.14,2,0,"LINESTRING(6069.6186 55052.2245, 6077.2005 55046.1375)"
SEGMENTATION-ZONE 1-2,D.15,2,0,"LINESTRING(6084.1134 55040.5877, 6130.4895 55003.3557)"
SEGMENTATION-ZONE 1-2,D.16,2,0,"LINESTRING(6141.7899 54994.2839, 6186.9902 54957.9953)"
SEGMENTATION-ZONE 1-2,STB-D.4,2,0,"LINESTRING(6196.3747 54966.4962, 6183.2626 54950.0954)"
SEGMENTATION-ZONE 1-2,D.17,2,0,"LINESTRING(6198.2904 54948.9233, 6277.3897 54885.4167)"
SEGMENTATION-ZONE 1-2,D.18,2,0,"LINESTRING(6288.6899 54876.3446, 6358.0777 54820.6381)"
SEGMENTATION-ZONE 1-2,C.18,2,0,"LINESTRING(6414.8449 54903.3135, 6423.4295 54896.3811)"
SEGMENTATION-ZONE 1-2,STB-C.5,2,0,"LINESTRING(6426.7111 54927.1596, 6396.6611 54889.7297)"
SEGMENTATION-ZONE 1-2,G.6,2,0,"LINESTRING(6432.1166 54895.9935, 6485.8204 54903.9187)"
SEGMENTATION-ZONE 1-2,C.19,2,0,"LINESTRING(6428.4963 54892.3538, 6492.8438 54840.7240)"
SEGMENTATION-ZONE 1-2,G.4,2,0,"LINESTRING(6432.1398 54837.0683, 6428.1657 54891.1217)"
SEGMENTATION-ZONE 1-2,G.8,2,0,"LINESTRING(6489.7282 54900.6750, 6497.2377 54842.6646)"
SEGMENTATION-ZONE 1-2,G.5,2,0,"LINESTRING(6436.1055 54833.8827, 6494.3677 54839.0897)"
SEGMENTATION-ZONE 1-2,G.7,2,0,"LINESTRING(6432.7604 54836.9872, 6481.2889 54897.4134)"
SEGMENTATION-ZONE 1-2,G.3,2,0,"LINESTRING(6429.0020 54832.3087, 6427.1239 54829.9694)"
SEGMENTATION-ZONE 1-2,G.1,2,0,"LINESTRING(6366.2163 54819.8639, 6423.4059 54826.1186)"
SEGMENTATION-ZONE 1-2,C.20,2,0,"LINESTRING(6497.5082 54836.9807, 6499.8291 54835.0801)"
SEGMENTATION-ZONE 1-2,G.2,2,0,"LINESTRING(6427.2871 54823.0028, 6433.5418 54765.8131)"
SEGMENTATION-ZONE 1-2,D.19,2,0,"LINESTRING(6430.2116 54762.7306, 6368.4790 54812.2940)"
SEGMENTATION-ZONE 1-2,STB-G.1,2,0,"LINESTRING(6411.1442 54851.1347, 6453.2526 54817.3291)"
SEGMENTATION-ZONE 1-2,H.14,2,0,"LINESTRING(6505.5683 54836.0226, 6563.7476 54841.2505)"
SEGMENTATION-ZONE 1-2,C.21,2,0,"LINESTRING(6504.5229 54831.3115, 6564.4622 54783.1905)"
SEGMENTATION-ZONE 1-2,C.22,2,0,"LINESTRING(6573.8785 54775.5959, 6579.7270 54770.9006)"
SEGMENTATION-ZONE 1-2,H.16,2,0,"LINESTRING(6567.7090 54838.0739, 6571.6390 54783.9296)"
SEGMENTATION-ZONE 1-2,H.12,2,0,"LINESTRING(6502.6833 54832.4908, 6510.1266 54774.4581)"
SEGMENTATION-ZONE 1-2,H.13,2,0,"LINESTRING(6567.7575 54779.1613, 6514.0797 54771.2786)"
SEGMENTATION-ZONE 1-2,H.15,2,0,"LINESTRING(6559.3114 54834.8640, 6515.4836 54780.2714)"
SEGMENTATION-ZONE 1-2,H.11,2,0,"LINESTRING(6506.9967 54769.7005, 6505.1185 54767.3611)"
SEGMENTATION-ZONE 1-2,H.6,2,0,"LINESTRING(6447.4958 54755.4772, 6495.4741 54758.8514)"
SEGMENTATION-ZONE 1-2,H.9,2,0,"LINESTRING(6500.0487 54762.3480, 6502.1711 54764.2950)"
SEGMENTATION-ZONE 1-2,H.10,2,0,"LINESTRING(6504.4386 54758.8236, 6505.8809 54761.3165)"
SEGMENTATION-ZONE 1-2,H.8,2,0,"LINESTRING(6501.9587 54753.5779, 6509.0352 54705.9504)"
SEGMENTATION-ZONE 1-2,H.7,2,0,"LINESTRING(6452.8446 54702.2493, 6496.6673 54756.8347)"
SEGMENTATION-ZONE 1-2,H.4,2,0,"LINESTRING(6443.5385 54750.5379, 6447.5211 54696.4787)"
SEGMENTATION-ZONE 1-2,D.20,2,0,"LINESTRING(6436.0767 54758.0589, 6438.8463 54755.8354)"
SEGMENTATION-ZONE 1-2,D.21,2,0,"LINESTRING(6441.9131 54753.3368, 6502.3527 54704.8140)"
SEGMENTATION-ZONE 1-2,H.5,2,0,"LINESTRING(6451.4785 54693.2975, 6505.1544 54701.1816)"
SEGMENTATION-ZONE 1-2,H.3,2,0,"LINESTRING(6443.3819 54690.6279, 6386.9074 54620.3756)"
SEGMENTATION-ZONE 1-2,H.1,2,0,"LINESTRING(6382.4577 54615.4653, 6319.9373 54613.5056)"
SEGMENTATION-ZONE 1-2,H.2,2,0,"LINESTRING(6386.1338 54612.2543, 6397.8454 54550.9589)"
SEGMENTATION-ZONE 1-2,D5.1,3,0,"LINESTRING(6082.5548 55041.6408, 6124.0026 54985.0957, 6137.5101 54950.5738)"
SEGMENTATION-ZONE 1-2,D5.2,3,0,"LINESTRING(6140.2966 54943.6039, 6195.0707 54802.6912, 6233.2160 54723.7685)"
SEGMENTATION-ZONE 1-2,D5.3,3,0,"LINESTRING(6240.7013 54711.2084, 6344.3075 54588.8115, 6411.1582 54535.1420)"
SEGMENTATION-ZONE 1-2,D.22,2,0,"LINESTRING(6511.2837 54697.6094, 6518.7891 54691.6551)"
SEGMENTATION-ZONE 1-2,D.23,2,0,"LINESTRING(6525.7370 54686.0403, 6565.4090 54654.1904)"
SEGMENTATION-ZONE 1-2,D.24,2,0,"LINESTRING(6577.0708 54644.8280, 6623.7179 54607.3785)"
SEGMENTATION-ZONE 1-2,D6.1,3,0,"LINESTRING(6579.2067 54596.0445, 6568.3377 54624.0063, 6524.1757 54687.0959)"
SEGMENTATION-ZONE 1-2,D6.2,3,0,"LINESTRING(6581.9244 54589.0529, 6636.6985 54448.1401, 6674.8438 54369.2175)"
SEGMENTATION-ZONE 1-2,D6.3,3,0,"LINESTRING(6682.3291 54356.6573, 6785.9353 54234.2605, 6852.7860 54180.5910)"
SEGMENTATION-ZONE 1-2,C.23,2,0,"LINESTRING(6585.6050 54766.2158, 6655.3055 54710.2550)"
SEGMENTATION-ZONE 1-2,C.28,2,0,"LINESTRING(7001.4217 54432.3851, 7071.1220 54376.4240)"
SEGMENTATION-ZONE 1-2,C.27,2,0,"LINESTRING(6909.1245 54506.4842, 6989.8828 54441.6453)"
SEGMENTATION-ZONE 1-2,C.26,2,0,"LINESTRING(6828.3647 54571.3214, 6897.5861 54515.7452)"
SEGMENTATION-ZONE 1-2,C.25,2,0,"LINESTRING(6747.6031 54636.1563, 6816.8246 54580.5801)"
SEGMENTATION-ZONE 1-2,C.24,2,0,"LINESTRING(6666.8445 54700.9949, 6736.0660 54645.4188)"
SEGMENTATION-ZONE 1-2,D.29,2,0,"LINESTRING(6961.9090 54335.8694, 7020.2178 54289.0575)"
SEGMENTATION-ZONE 1-2,D.28,2,0,"LINESTRING(6880.2767 54401.4061, 6950.2472 54345.2318)"
SEGMENTATION-ZONE 1-2,D.27,2,0,"LINESTRING(6798.6443 54466.9428, 6868.6149 54410.7685)"
SEGMENTATION-ZONE 1-2,D.26,2,0,"LINESTRING(6717.0120 54532.4795, 6786.9825 54476.3052)"
SEGMENTATION-ZONE 1-2,D.25,2,0,"LINESTRING(6635.3796 54598.0161, 6705.3502 54541.8418)"
SEGMENTATION-ZONE 1-2,D.30,2,0,"LINESTRING(7031.3577 54280.1141, 7087.0571 54235.3971)"
SEGMENTATION-ZONE 1-2,D.31,2,0,"LINESTRING(7098.1970 54226.4537, 7104.0455 54221.7584)"
SEGMENTATION-ZONE 1-2,C.29,2,0,"LINESTRING(7076.9732 54371.7320, 7082.8216 54367.0368)"
SEGMENTATION-ZONE 1-2,C.30,2,0,"LINESTRING(7093.9615 54358.0934, 7149.6610 54313.3763)"
SEGMENTATION-ZONE 1-2,C.36,2,0,"LINESTRING(7567.1608 53978.1961, 7632.4668 53925.7399)"
SEGMENTATION-ZONE 1-2,C.35,2,0,"LINESTRING(7485.8891 54043.4432, 7555.5509 53987.5168)"
SEGMENTATION-ZONE 1-2,C.34,2,0,"LINESTRING(7404.6171 54108.6906, 7474.2789 54052.7642)"
SEGMENTATION-ZONE 1-2,C.33,2,0,"LINESTRING(7323.3450 54173.9381, 7393.0068 54118.0117)"
SEGMENTATION-ZONE 1-2,C.32,2,0,"LINESTRING(7242.0730 54239.1855, 7311.7347 54183.2591)"
SEGMENTATION-ZONE 1-2,C.31,2,0,"LINESTRING(7160.8009 54304.4329, 7230.4626 54248.5065)"
SEGMENTATION-ZONE 1-2,C2.6,2,0,"LINESTRING(7090.9585 54366.2604, 7148.1482 54372.5151)"
SEGMENTATION-ZONE 1-2,C2.8,2,0,"LINESTRING(7152.0293 54369.3992, 7158.2840 54312.2096)"
SEGMENTATION-ZONE 1-2,C2.4,2,0,"LINESTRING(7087.8426 54362.3792, 7094.0974 54305.1896)"
SEGMENTATION-ZONE 1-2,C2.5,2,0,"LINESTRING(7155.1682 54308.3285, 7097.9785 54302.0737)"
SEGMENTATION-ZONE 1-2,C2.7,2,0,"LINESTRING(7144.4585 54367.1388, 7094.8972 54305.4053)"
SEGMENTATION-ZONE 1-2,C2.1,2,0,"LINESTRING(7028.3547 54288.2812, 7085.5443 54294.5359)"
SEGMENTATION-ZONE 1-2,C2.2,2,0,"LINESTRING(7095.6802 54234.2304, 7089.4254 54291.4200)"
SEGMENTATION-ZONE 1-2,C2.3,2,0,"LINESTRING(7091.1678 54300.7240, 7089.2722 54298.3989)"
SEGMENTATION-ZONE 1-2,D.33,2,0,"LINESTRING(7190.1579 54152.6250, 7259.1290 54097.2531)"
SEGMENTATION-ZONE 1-2,D.32,2,0,"LINESTRING(7109.8939 54217.0631, 7178.6628 54161.8536)"
SEGMENTATION-ZONE 1-2,D.37,2,0,"LINESTRING(7503.0300 53906.5723, 7576.6794 53847.4446)"
SEGMENTATION-ZONE 1-2,D.36,2,0,"LINESTRING(7420.0601 53968.0533, 7489.0400 53912.6748)"
SEGMENTATION-ZONE 1-2,D.35,2,0,"LINESTRING(7351.0894 54023.4248, 7408.5649 53977.2819)"
SEGMENTATION-ZONE 1-2,D.34,2,0,"LINESTRING(7270.6236 54088.0249, 7339.5948 54032.6531)"
SEGMENTATION-ZONE 1-2,D7.3,3,0,"LINESTRING(6998.3291 54063.7451, 7045.1066 54026.1887, 7207.0888 53935.3787)"
SEGMENTATION-ZONE 1-2,D7.2,3,0,"LINESTRING(7455.6707 53887.5783, 7306.2618 53910.5970, 7220.9706 53930.8129)"
SEGMENTATION-ZONE 1-2,D7.1,4,0,"LINESTRING(7463.0846 53886.4279, 7492.7220 53881.8598, 7575.3449 53843.3864, 7616.2789 53810.5247)"
SEGMENTATION-ZONE 1-2,D.38,2,0,"LINESTRING(7577.8490 53846.5055, 7645.7239 53792.0137)"
SEGMENTATION-ZONE 1-2,D.39,2,0,"LINESTRING(7652.1984 53781.6863, 7658.0468 53776.9910)"
SEGMENTATION-ZONE 1-2,C3.1,2,0,"LINESTRING(7582.3560 53843.5138, 7639.5456 53849.7685)"
SEGMENTATION-ZONE 1-2,C3.2,2,0,"LINESTRING(7643.4268 53846.6527, 7649.6815 53789.4630)"
SEGMENTATION-ZONE 1-2,C3.3,2,0,"LINESTRING(7645.1422 53855.9592, 7643.3042 53853.6698)"
SEGMENTATION-ZONE 1-2,C3.7,2,0,"LINESTRING(7648.6190 53860.2898, 7701.6087 53926.2936)"
SEGMENTATION-ZONE 1-2,C.37,2,0,"LINESTRING(7636.8230 53922.2694, 7637.7977 53921.4868)"
SEGMENTATION-ZONE 1-2,C.38,2,0,"LINESTRING(7647.9629 53913.3260, 7703.6623 53868.6089)"
SEGMENTATION-ZONE 1-2,C3.6,2,0,"LINESTRING(7645.7879 53920.8119, 7701.4882 53926.9038)"
SEGMENTATION-ZONE 1-2,C3.4,2,0,"LINESTRING(7641.8440 53917.6119, 7648.0987 53860.4222)"
SEGMENTATION-ZONE 1-2,C3.5,2,0,"LINESTRING(7709.1695 53863.5611, 7651.9799 53857.3063)"
SEGMENTATION-ZONE 1-2,C3.8,2,0,"LINESTRING(7705.3495 53923.8038, 7711.4414 53868.1035)"
SEGMENTATION-ZONE 1-2,D.42,2,0,"LINESTRING(7849.7243 53628.2366, 7924.8606 53567.9155)"
SEGMENTATION-ZONE 1-2,D.41,2,0,"LINESTRING(7755.9987 53698.3520, 7835.8154 53634.2694)"
SEGMENTATION-ZONE 1-2,D.40,2,0,"LINESTRING(7663.8953 53772.2957, 7744.5945 53707.5045)"
SEGMENTATION-ZONE 1-2,D.44,2,0,"LINESTRING(8005.5323 53503.1495, 7943.5619 53552.9011)"
SEGMENTATION-ZONE 1-2,D8.1,4,0,"LINESTRING(7817.0809 53602.2300, 7846.7184 53597.6619, 7924.8133 53562.8235, 7970.3239 53526.2846)"
SEGMENTATION-ZONE 1-2,D.45,2,0,"LINESTRING(8006.1947 53497.4884, 8071.6657 53444.9265)"
SEGMENTATION-ZONE 1-2,D.46,2,0,"LINESTRING(8081.0074 53437.4267, 8086.8559 53432.7314)"
SEGMENTATION-ZONE 1-2,D.48,2,0,"LINESTRING(8172.5488 53363.9317, 8241.2060 53308.8118)"
SEGMENTATION-ZONE 1-2,D.47,2,0,"LINESTRING(8092.7043 53428.0361, 8161.1072 53373.1199)"
SEGMENTATION-ZONE 1-2,D.49,2,0,"LINESTRING(8252.6504 53299.6271, 8321.3076 53244.5072)"
SEGMENTATION-ZONE 1-2,D.50,2,0,"LINESTRING(8332.7505 53235.3205, 8424.0276 53162.0386)"
SEGMENTATION-ZONE 1-2,D.52,2,0,"LINESTRING(8448.6376 53147.4128, 8510.3712 53097.8514)"
SEGMENTATION-ZONE 1-2,D.51,2,0,"LINESTRING(8429.8795 53157.3427, 8436.9059 53151.7017)"
SEGMENTATION-ZONE 1-2,D.53,2,0,"LINESTRING(8513.7155 53090.0369, 8529.3113 53077.5161)"
SEGMENTATION-ZONE 1-2,C.42,2,0,"LINESTRING(7983.7623 53643.7328, 8055.9932 53585.7485)"
SEGMENTATION-ZONE 1-2,C.41,2,0,"LINESTRING(7890.2171 53718.8377, 7972.0704 53653.1225)"
SEGMENTATION-ZONE 1-2,C.40,2,0,"LINESTRING(7796.6699 53793.9399, 7878.5236 53728.2255)"
SEGMENTATION-ZONE 1-2,C.39,2,0,"LINESTRING(7713.8275 53860.4481, 7784.9765 53803.3277)"
SEGMENTATION-ZONE 1-2,C.43,2,0,"LINESTRING(8066.6068 53577.2272, 8061.2999 53581.4878)"
SEGMENTATION-ZONE 1-2,C.44,2,0,"LINESTRING(8079.9723 53571.6266, 8134.2793 53528.0275)"
SEGMENTATION-ZONE 1-2,C.45,2,0,"LINESTRING(8142.6365 53516.1885, 8211.6710 53460.7657)"
SEGMENTATION-ZONE 1-2,C.46,2,0,"LINESTRING(8223.1768 53451.5286, 8303.7170 53386.8686)"
SEGMENTATION-ZONE 1-2,C.47,2,0,"LINESTRING(8315.2228 53377.6315, 8384.2573 53322.2087)"
SEGMENTATION-ZONE 1-2,C.48,2,0,"LINESTRING(8395.7631 53312.9716, 8441.7861 53276.0231)"
SEGMENTATION-ZONE 1-2,C.49,2,0,"LINESTRING(8451.5525 53268.1823, 8499.3148 53229.8374)"
SEGMENTATION-ZONE 1-2,C.50,2,0,"LINESTRING(8572.8123 53175.9612, 8513.2738 53223.7449)"
SEGMENTATION-ZONE 1-2,C.51,2,0,"LINESTRING(8575.3435 53168.7995, 8581.1848 53164.1035)"
SEGMENTATION-ZONE 1-2,C.52,2,0,"LINESTRING(8587.0324 53159.4153, 8592.8737 53154.7193)"
SEGMENTATION-ZONE 1-2,C3.9,3,0,"LINESTRING(7709.1299 53929.2729, 7709.7981 53930.0869, 7769.3802 53940.2719)"
SEGMENTATION-ZONE 1-2,N.1,2,0,"LINESTRING(7774.8662 53936.4778, 7855.4630 53871.7725)"
SEGMENTATION-ZONE 1-2,N.2,2,0,"LINESTRING(7866.7327 53862.7249, 7934.4334 53808.3735)"
SEGMENTATION-ZONE 1-2,N.3,2,0,"LINESTRING(7945.5892 53799.4173, 8013.1736 53745.1592)"
SEGMENTATION-ZONE 1-2,N.4,2,0,"LINESTRING(8024.5148 53736.0541, 8069.5892 53699.8681)"
SEGMENTATION-ZONE 1-2,C4.1,2,0,"LINESTRING(8011.1651 53499.2542, 8068.3547 53505.5089)"
SEGMENTATION-ZONE 1-2,C4.2,2,0,"LINESTRING(8078.4906 53445.2034, 8072.2358 53502.3930)"
SEGMENTATION-ZONE 1-2,C4.3,2,0,"LINESTRING(8073.9687 53511.6854, 8072.0908 53509.3463)"
SEGMENTATION-ZONE 1-2,C4.7,2,0,"LINESTRING(8077.4280 53516.0302, 8130.4177 53582.0341)"
SEGMENTATION-ZONE 1-2,C4.4,2,0,"LINESTRING(8070.6530 53573.3523, 8076.9078 53516.1626)"
SEGMENTATION-ZONE 1-2,C4.5,2,0,"LINESTRING(8137.9786 53519.3015, 8080.7889 53513.0467)"
SEGMENTATION-ZONE 1-2,C4.6,2,0,"LINESTRING(8074.5970 53576.5523, 8130.2973 53582.6442)"
SEGMENTATION-ZONE 1-2,C4.8,2,0,"LINESTRING(8140.2505 53523.8439, 8134.1586 53579.5442)"
SEGMENTATION-ZONE 1-2,C4.9,2,0,"LINESTRING(8133.8945 53586.3647, 8135.7726 53588.7041)"
SEGMENTATION-ZONE 1-2,C4.10,2,0,"LINESTRING(8138.6276 53593.0204, 8132.5358 53648.7207)"
SEGMENTATION-ZONE 1-2,C4.11,2,0,"LINESTRING(8142.4889 53589.9205, 8198.1892 53596.0123)"
SEGMENTATION-ZONE 1-2,N.5,2,0,"LINESTRING(8080.8591 53690.8207, 8127.6326 53653.2703)"
SEGMENTATION-ZONE 1-2,N.6,2,0,"LINESTRING(8139.8339 53648.5984, 8142.1802 53646.7110)"
SEGMENTATION-ZONE 1-2,N.7,2,0,"LINESTRING(8149.3656 53635.8262, 8192.8342 53600.9301)"
SEGMENTATION-ZONE 1-2,N.8,2,0,"LINESTRING(8203.6753 53592.2182, 8261.2273 53546.0149)"
SEGMENTATION-ZONE 1-2,N.9,2,0,"LINESTRING(8272.7098 53536.7954, 8318.7670 53499.8210)"
SEGMENTATION-ZONE 1-2,N.14,2,0,"LINESTRING(8572.0505 53296.4766, 8630.5348 53249.5237)"
SEGMENTATION-ZONE 1-2,N.15,2,0,"LINESTRING(8636.3833 53244.8284, 8642.2315 53240.1330)"
SEGMENTATION-ZONE 1-2,D10.15,2,0,"LINESTRING(8563.1258 53234.6442, 8510.1361 53168.6404)"
SEGMENTATION-ZONE 1-2,D10.9,2,0,"LINESTRING(8501.0250 53157.2917, 8451.4636 53095.5581)"
SEGMENTATION-ZONE 1-2,D10.11,2,0,"LINESTRING(8506.6594 53164.3098, 8504.7812 53161.9705)"
SEGMENTATION-ZONE 1-2,D10.18,2,0,"LINESTRING(8565.2438 53301.3309, 8571.3357 53245.6306)"
SEGMENTATION-ZONE 1-2,D10.17,2,0,"LINESTRING(8568.4806 53241.3143, 8566.6025 53238.9749)"
SEGMENTATION-ZONE 1-2,D10.19,2,0,"LINESTRING(8630.8973 53248.6225, 8575.1970 53242.5307)"
SEGMENTATION-ZONE 1-2,D10.14,2,0,"LINESTRING(8507.3050 53229.1625, 8563.0053 53235.2544)"
SEGMENTATION-ZONE 1-2,D10.16,2,0,"LINESTRING(8566.8666 53232.1544, 8572.9585 53176.4541)"
SEGMENTATION-ZONE 1-2,D10.12,2,0,"LINESTRING(8503.3611 53225.9624, 8509.6158 53168.7728)"
SEGMENTATION-ZONE 1-2,D10.13,2,0,"LINESTRING(8513.4969 53165.6569, 8570.6866 53171.9117)"
SEGMENTATION-ZONE 1-2,D10.8,2,0,"LINESTRING(8443.8731 53151.8644, 8501.0627 53158.1191)"
SEGMENTATION-ZONE 1-2,D10.10,2,0,"LINESTRING(8504.9439 53155.0032, 8511.1986 53097.8136)"
SEGMENTATION-ZONE 1-2,D10.6,2,0,"LINESTRING(8440.7572 53147.9832, 8450.0663 53096.9234)"
SEGMENTATION-ZONE 1-2,D10.4,2,0,"LINESTRING(8447.7258 53092.0442, 8446.2609 53089.5650)"
SEGMENTATION-ZONE 1-2,D10.5,2,0,"LINESTRING(8449.8558 53086.6789, 8451.9599 53088.6450)"
SEGMENTATION-ZONE 1-2,D10.7,2,0,"LINESTRING(8456.2178 53091.9848, 8508.0827 53093.9325)"
SEGMENTATION-ZONE 1-2,D10.3,2,0,"LINESTRING(8443.1160 53085.1609, 8386.7725 53014.9799)"
SEGMENTATION-ZONE 1-2,D10.1,2,0,"LINESTRING(8319.7007 53008.0411, 8382.2126 53009.9786)"
SEGMENTATION-ZONE 1-2,D10.2,2,0,"LINESTRING(8385.9566 53006.8737, 8397.6155 52945.4889)"
SEGMENTATION-ZONE 1-2,D11.1,2,0,"LINESTRING(8413.2532 52932.9351, 8475.6840 52934.9444)"
SEGMENTATION-ZONE 1-2,D11.2,3,0,"LINESTRING(8479.8785 52939.2701, 8536.6915 53010.0363, 8536.7783 53010.1447)"
SEGMENTATION-ZONE 1-2,D11.3,2,0,"LINESTRING(8543.6413 53021.7988, 8534.3323 53072.8586)"
SEGMENTATION-ZONE 1-2,D11.5,2,0,"LINESTRING(8548.1576 53017.9294, 8597.7192 53079.6629)"
SEGMENTATION-ZONE 1-2,D11.4,2,0,"LINESTRING(8537.4482 53076.7398, 8594.6378 53082.9945)"
SEGMENTATION-ZONE 1-2,D11.6,2,0,"LINESTRING(8600.2346 53089.1855, 8598.3560 53086.8465)"
SEGMENTATION-ZONE 1-2,D11.9,2,0,"LINESTRING(8606.8303 53091.0117, 8659.8200 53157.0155)"
SEGMENTATION-ZONE 1-2,D11.7,2,0,"LINESTRING(8596.9361 53150.8378, 8603.1909 53093.6482)"
SEGMENTATION-ZONE 1-2,D11.10,5,0,"LINESTRING(8661.0312 53164.9055, 8664.9467 53170.5669, 8658.8341 53226.1900, 8653.9111 53230.7566, 8648.0801 53235.4379)"
SEGMENTATION-ZONE 1-2,D11.8,2,0,"LINESTRING(8600.8801 53154.0379, 8656.5804 53160.1297)"
SEGMENTATION-ZONE 1-2,D9.7,2,0,"LINESTRING(8000.5620 53501.3840, 7948.6970 53499.4363)"
