sheet,deck_asset_id,deck_symbol_type,in_plot_frame,registered_x_local,registered_y_local,nearest_source_fixture_layer,nearest_source_block,nearest_source_x,nearest_source_y,residual_m
LOC-03,TCCECH.05.034,Taxiway centreline light,True,5818.2934,54688.2135,EL-TAXICL,TCL-c_gg,5818.243,54688.266,0.0728
LOC-03,TCCECH.05.034,Taxiway centreline light,True,5813.9476,54691.5979,EL-EBASE,ADB_EBASE,5814.9858,54689.5956,2.2555
LOC-03,TCCECH.06.036,Taxiway centreline light,True,5820.685,54688.4944,EL-EBASE,ADB_EBASE,5821.8068,54686.5646,2.2321
LOC-03,TCCECH.05.033,Taxiway centreline light,True,5827.3136,54684.9502,EL-TAXICL,TCL-s_gg,5827.9881,54684.7579,0.7014
LOC-03,TCCECH.06.035,Taxiway centreline light,True,5833.6314,54680.9685,EL-TAXICL,TCL-s_gg,5833.845,54680.094,0.9002
LOC-03,SBC102.02.037,Stop bar light,True,5845.552,54670.6834,EL-TAXICL,TCL-s_gg,5845.52,54670.722,0.0502
LOC-03,SBC102.02.037,Stop bar light,True,5844.2513,54669.8182,EL-STOPBAR,STB-in,5844.219,54669.856,0.0498
LOC-03,SBC102.01.041,Stop bar light,True,5842.3623,54667.4824,EL-STOPBAR,STB-in,5842.328,54667.519,0.0502
LOC-03,RRM.548,Runway guard light / RRM,True,5840.4873,54665.1407,EL-STOPBAR,STB-in,5840.452,54665.175,0.0492
LOC-03,RRM.548,Runway guard light / RRM,True,5838.6203,54662.8009,EL-STOPBAR,STB-in,5838.583,54662.834,0.0498
LOC-03,TCCECH.05.034,Taxiway centreline light,True,5816.3201,54694.1375,EL-TAXICL,TCL-s_gg,5816.2691,54694.1939,0.0761
LOC-03,TCCECH.05.033,Taxiway centreline light,True,5828.0318,54684.7085,EL-TAXICL,TCL-s_gg,5827.9881,54684.7579,0.066
LOC-03,TCCECH.06.019,Taxiway centreline light,True,5837.7125,54676.9627,EL-TAXICL,TCL-s_gg,5837.676,54677.006,0.0567
LOC-03,TCCECH.05.016,Taxiway centreline light,True,5811.0517,54709.5758,EL-TAXICL,TCL-c_gg,5810.997,54709.6435,0.087
LOC-03,TCC102.01.052,Taxiway centreline light,True,5818.8734,54696.8159,EL-TAXICL,TCL-c_gg,5818.824,54696.874,0.0763
LOC-03,TCCECH.06.035,Taxiway centreline light,True,5833.8842,54680.0484,EL-TAXICL,TCL-s_gg,5833.845,54680.094,0.0601
LOC-03,TCCECH.06.017,Taxiway centreline light,True,5814.7183,54703.0625,EL-TAXICL,TCL-c_gg,5814.666,54703.125,0.0815
LOC-03,TCCECH.06.036,Taxiway centreline light,True,5823.4621,54690.8991,EL-TAXICL,TCL-c_gg,5823.416,54690.953,0.071
LOC-03,TCCECH.03.001,Taxiway centreline light,True,5839.7446,54675.3424,EL-TAXICL,TCL-s_gg,5839.709,54675.384,0.0547
LOC-03,TCCECH.05.033,Taxiway centreline light,True,5828.4884,54685.3489,EL-TAXICL,TCL-c_gg,5828.445,54685.398,0.0655
LOC-03,SBC102-01/038,Stop bar light,True,5860.0687,54686.0536,CV_ETRANS HH,ETRANS-PIT,5861.1776,54684.1298,2.2205
LOC-03,RRM.283,Runway guard light / RRM,True,5892.2438,54659.0492,CV_ETRANS HH,ETRANS-PIT,5893.4543,54657.1087,2.2871
LOC-03,P4.039,Existing transformer pit,True,5896.4793,54663.7377,CV_HH,Pit,5897.6909,54661.7145,2.3582
LOC-03,HH.E.061,Existing handhole,True,5862.9136,54692.4264,CV_HH,Pit,5864.0493,54690.517,2.2216
LOC-03,P4.037,Existing transformer pit,True,5865.0126,54690.7302,CV_HH,Pit,5864.0493,54690.517,0.9866
