sheet,source_layer,source_xref,approx_geometry,on_sheet_length_m,wkt_zia_local_grid_m
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,21.096,"LINESTRING(5951.8674 54610.2353, 5933.2464 54600.3208)"
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,29.105,"LINESTRING(5951.8674 54610.2353, 5956.6620 54581.5284)"
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,30.305,"LINESTRING(5921.5672 54609.7095, 5951.8674 54610.2353)"
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,41.499,"LINESTRING(5951.8674 54610.2353, 5968.3452 54572.1478)"
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,8.685,"LINESTRING(5999.4229 54557.4274, 5991.7563 54553.3463)"
LOC-02,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.376,"LINESTRING(5980.0490 54562.7410, 5999.4229 54563.0064)"
LOC-02,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,6.229,"LINESTRING(5955.7659 54615.0901, 5951.8662 54610.2330)"
LOC-02,CV_OUTER DUCT 4x110mm dia,X_CV_PITS & DUCTS LAYOUT,0,110.818,"LINESTRING(5999.4229 54581.5674, 5942.7161 54627.1562, 5913.1274 54651.0914)"
LOC-02,CV_GRND DUCT,X_CV_PITS & DUCTS LAYOUT,0,1.641,"LINESTRING(5950.1927 54623.2456, 5949.1655 54621.9660)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,3.826,"LINESTRING(5812.4122 54716.5467, 5808.6478 54715.8630)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,19.474,"LINESTRING(5808.6478 54706.1276, 5825.1002 54716.5467)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,18.356,"LINESTRING(5827.1878 54716.5467, 5814.6660 54703.1250)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,25.453,"LINESTRING(5816.2691 54694.1939, 5828.4426 54716.5467)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,21.967,"LINESTRING(5828.5971 54716.5467, 5818.8240 54696.8740)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,26.293,"LINESTRING(5823.4160 54690.9530, 5829.4415 54716.5467)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,31.189,"LINESTRING(5830.0371 54716.5467, 5828.4450 54685.3980)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.091,"LINESTRING(5837.6760 54677.0060, 5849.4321 54704.7052)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,10.389,"LINESTRING(5811.2850 54691.0480, 5814.5573 54681.1877)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,24.48,"LINESTRING(5808.6478 54666.7327, 5824.9700 54684.9770)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,27.814,"LINESTRING(5831.4580 54681.1900, 5808.6478 54665.2743)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,20.776,"LINESTRING(5818.2430 54688.2660, 5808.6478 54669.8386)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,23.135,"LINESTRING(5857.2330 54661.3340, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,20.565,"LINESTRING(5861.1776 54684.1298, 5851.3720 54666.0530)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,20.679,"LINESTRING(5845.4786 54670.6705, 5861.1776 54684.1298)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,27.566,"LINESTRING(5861.1776 54684.1298, 5863.0552 54656.6276)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,25.992,"LINESTRING(5903.7540 54633.2434, 5893.4553 54657.1079)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,20.469,"LINESTRING(5886.4627 54637.8706, 5893.4553 54657.1079)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,29.019,"LINESTRING(5893.4553 54657.1079, 5898.1627 54628.4728)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,21.117,"LINESTRING(5893.4554 54657.1072, 5874.7830 54647.2450)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,25.066,"LINESTRING(5868.9260 54651.9490, 5893.4554 54657.1072)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,20.334,"LINESTRING(5880.6281 54642.5687, 5894.7039 54657.2428)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,5.378,"LINESTRING(5894.7039 54657.2428, 5897.6909 54661.7145)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.096,"LINESTRING(5837.6815 54676.9974, 5849.4321 54704.7052)"
LOC-03,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,6.798,"LINESTRING(5866.1387 54688.7780, 5861.1776 54684.1298)"
LOC-03,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,7.003,"LINESTRING(5861.1776 54684.1298, 5864.0493 54690.5170)"
LOC-03,CV-NEW SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,6.258,"LINESTRING(5893.4553 54657.1079, 5897.6909 54661.7145)"
LOC-03,CV-NEW SEC SAWCUT,X_EL_SECONDARY CABLE LAYOUT,0,30.795,"LINESTRING(5839.6606 54675.5020, 5849.4321 54704.7052)"
LOC-03,CV-EX SEC CONDUIT,X_EL_SECONDARY CABLE LAYOUT,0,13.455,"LINESTRING(5861.1776 54684.1298, 5849.8420 54676.8810)"
